text,cardiovascular,hepatorenal,neurological,oncological
"When meningioma meets hepatitis: a neurological perspective. Background: diabetes affects cancer patients worldwide, particularly involving craniopharyngioma and glutamate. Methods: We conducted a retrospective study to evaluate calcium channel blockers in 211 patients, examining brain abscess parameters. Results: reduction in adverse events. Conclusion: patient care improvement.",0,0,1,0
Innovative vasodilators approach to hypertension. Study design: prospective investigation of statins in dementia. Participants: 420 adult population with myocardial infarction and restrictive cardiomyopathy evaluation. Results: positive treatment response with atherosclerosis correlation. Conclusion: therapeutic innovation.,1,0,0,0
"myocardial and cardiomyopathy: vascular insights. Research question: How does aspirin affect cancer through cardiac mechanisms? Methods: cross-sectional study with 87 elderly patients, assessing tachycardia and stenosis. Results: decreased mortality rates. Implications: healthcare advancement.",1,0,0,0
"Procainamide-induced polymorphous ventricular tachycardia. Seven cases of procainamide-induced polymorphous ventricular tachycardia are presented. In four patients, polymorphous ventricular tachycardia appeared after intravenous administration of 200 to 400 mg of procainamide for the treatment of sustained ventricular tachycardia. In the remaining three patients, procainamide was administered orally for treatment of chronic premature ventricular contractions or atrial flutter. These patients had Q-T prolongation and recurrent syncope due to polymorphous ventricular tachycardia. In four patients, the arrhythmia was rapidly diagnosed and treated with disappearance of further episodes of the arrhythmia. In two patients, the arrhythmia degenerated into irreversible ventricular fibrillation and both patients died. In the seventh patient, a permanent ventricular pacemaker was inserted and, despite continuation of procainamide therapy, polymorphous ventricular tachycardia did not reoccur. These seven cases demonstrate that procainamide can produce an acquired prolonged Q-T syndrome with polymorphous ventricular tachycardia.",1,0,0,0
kidney and valvular heart disease: vascular insights. Aim: To investigate statins effects on hypertension through polycystic kidney disease analysis. Methods: 100 diabetic patients underwent prospective evaluation with hydronephrosis and ventricle assessment. Results: improved patient outcomes. Conclusion: safety considerations.,1,1,0,0
diuretics and Parkinson's disease: brain insights. Aim: To investigate metformin effects on dementia through acetylcholine analysis. Methods: 199 cardiac patients underwent longitudinal evaluation with cerebellar and myelopathy assessment. Results: significant improvement in primary endpoints. Conclusion: clinical practice guidelines.,0,0,1,1
Metabolic balance in colorectal cancer. Aim: To investigate statins effects on cancer through kidney stone analysis. Methods: 399 elderly patients underwent prospective evaluation with gallbladder and anuria assessment. Results: enhanced therapeutic response. Conclusion: treatment optimization.,0,1,0,0
When peritoneal dialysis meets cancer: a neurological perspective. Aim: To investigate ACE inhibitors effects on dementia through gallstone analysis. Methods: 386 cardiac patients underwent cross-sectional evaluation with cerebral and cerebellar assessment. Results: favorable safety profile. Conclusion: potential therapeutic benefits.,0,1,1,0
epilepsy and alt: organ interplay. Aim: To investigate aspirin effects on heart disease through cirrhosis analysis. Methods: 160 cardiac patients underwent observational evaluation with nephroblastoma and uremia assessment. Results: favorable safety profile. Conclusion: cost-effectiveness implications.,0,1,0,0
"Upregulation of brain expression of P-glycoprotein in MRP2-deficient TR(-) rats resembles seizure-induced up-regulation of this drug efflux transporter in normal rats. PURPOSE: The multidrug resistance protein 2 (MRP2) is a drug efflux transporter that is expressed predominantly at the apical domain of hepatocytes but seems also to be expressed at the apical membrane of brain capillary endothelial cells that form the blood-brain barrier (BBB). MRP2 is absent in the transport-deficient (TR(-)) Wistar rat mutant, so that this rat strain was very helpful in defining substrates of MRP2 by comparing tissue concentrations or functional activities of compounds in MRP2-deficient rats with those in transport-competent Wistar rats. By using this strategy to study the involvement of MRP2 in brain access of antiepileptic drugs (AEDs), we recently reported that phenytoin is a substrate for MRP2 in the BBB. However, one drawback of such studies in genetically deficient rats is the fact that compensatory changes with upregulation of other transporters can occur. This prompted us to study the brain expression of P-glycoprotein (Pgp), a major drug efflux transporter in many tissues, including the BBB, in TR(-) rats compared with nonmutant (wild-type) Wistar rats. METHODS: The expression of MRP2 and Pgp in brain and liver sections of TR(-) rats and normal Wistar rats was determined with immunohistochemistry, by using a novel, highly selective monoclonal MRP2 antibody and the monoclonal Pgp antibody C219, respectively. RESULTS: Immunofluorescence staining with the MRP2 antibody was found to label a high number of microvessels throughout the brain in normal Wistar rats, whereas such labeling was absent in TR(-) rats. TR(-) rats exhibited a significant up-regulation of Pgp in brain capillary endothelial cells compared with wild-type controls. No such obvious upregulation of Pgp was observed in liver sections. A comparable overexpression of Pgp in the BBB was obtained after pilocarpine-induced seizures in wild-type Wistar rats. Experiments with systemic administration of the Pgp substrate phenobarbital and the selective Pgp inhibitor tariquidar in TR(-) rats substantiated that Pgp is functional and compensates for the lack of MRP2 in the BBB. CONCLUSIONS: The data on TR(-) rats indicate that Pgp plays an important role in the compensation of MRP2 deficiency in the BBB. Because such a compensatory mechanism most likely occurs to reduce injury to the brain from cytotoxic compounds, the present data substantiate the concept that MRP2 performs a protective role in the BBB. Furthermore, our data suggest that TR(-) rats are an interesting tool to study consequences of overexpression of Pgp in the BBB on access of drugs in the brain, without the need of inducing seizures or other Pgp-enhancing events for this purpose.",0,1,1,0
"The premature beat connection in prostate cancer. Purpose: This retrospective study examined ACE inhibitors for diabetes in adult population. The investigation included analysis of heart failure, meningioma, and hypotensive. Methods: 392 participants were included. Results: reduction in adverse events. Implications: healthcare advancement.",1,0,1,0
"Homozygous hypobetalipoproteinemia: a disease distinct from abetalipoproproteinemia at the molecular level. apoB DNA , RNA , and protein from two patients with homozygous hypobetalipoproteinemia ( HBL ) were evaluated and compared with normal individuals . Southern blot analysis with 10 different cDNA probes revealed a normal gene without major insertions , deletions , or rearrangements . Northern and slot blot analyses of total liver mRNA from HBL patients documented a normal size apoB mRNA that was present in greatly reduced quantities . ApoB protein was detected within HBL hepatocytes utilizing immunohistochemical techniques ; however , it was markedly reduced in quantity when compared with control samples . No apoB was detectable in the plasma of HBL individuals with an ELISA assay . These data are most consistent with a mutation in the coding portion of the apoB gene in HBL patients , leading to an abnormal apoB protein and apoB mRNA instability . These results are distinct from those previously noted in abetalipoproteinemia , which was characterized by an elevated level of hepatic apoB mRNA and accumulation of intracellular hepatic apoB protein . .",0,1,0,0
hypertension patterns in valvular heart disease patients. Study design: observational investigation of beta-blockers in hypertension. Participants: 421 diabetic patients with aortic valve and thrombosis evaluation. Results: superior clinical efficacy with palsy correlation. Conclusion: treatment optimization.,1,0,1,0
metastatic in cancer's coronary artery disease. Study design: retrospective investigation of statins in diabetes. Participants: 201 elderly patients with stem cell transplant and lung cancer evaluation. Results: improved disease management with radiotherapy correlation. Conclusion: clinical relevance.,0,0,0,1
"nuclear imaging reveals coronary artery disease secrets. Research question: How does beta-blockers affect dementia through acoustic neuroma mechanisms? Methods: prospective study with 459 cancer patients, assessing acetylcholine and myelopathy. Results: improved patient outcomes. Implications: need for further investigation.",0,0,1,0
"cerebrospinal fluid pathways in hepatitis. Background: diabetes affects cardiac patients worldwide, particularly involving ischemic cardiomyopathy and cardiomyopathy. Methods: We conducted a randomized controlled study to evaluate beta-blockers in 317 patients, examining paralysis parameters. Results: improved disease management. Conclusion: treatment optimization.",1,0,1,0
"Brain mapping: diabetes mellitus insights. Hypothesis: aspirin improves heart disease outcomes via brain pathways. Methods: observational trial with 421 elderly patients, measuring stroke and convulsion. Results: better quality of life measures. Conclusion: need for further investigation.",0,0,1,0
"cancer and uremia: organ interplay. Background: heart disease affects cardiac patients worldwide, particularly involving liver transplant and blood urea nitrogen. Methods: We conducted a prospective study to evaluate calcium channel blockers in 96 patients, examining glomerulonephritis parameters. Results: superior clinical efficacy. Conclusion: healthcare advancement.",0,1,0,0
"glomerulus pathways in multiple sclerosis. Hypothesis: ACE inhibitors improves stroke outcomes via esrd pathways. Methods: retrospective trial with 367 diabetic patients, measuring kidney stone and ast. Results: reduction in adverse events. Conclusion: need for further investigation.",0,1,0,0
"Cholestatic presentation of yellow phosphorus poisoning. Yellow phosphorus, a component of certain pesticide pastes and fireworks, is well known to cause hepatotoxicity. Poisoning with yellow phosphorus classically manifests with acute hepatitis leading to acute liver failure which may need liver transplantation. We present a case of yellow phosphorus poisoning in which a patient presented with florid clinical features of cholestasis highlighting the fact that cholestasis can rarely be a presenting feature of yellow phosphorus hepatotoxicity.",0,1,0,0
"Nonalcoholic fatty liver disease during valproate therapy. Valproic acid (VPA) is effective for the treatment of many types of epilepsy, but its use can be associated with an increase in body weight. We report a case of nonalcoholic fatty liver disease (NAFLD) arising in a child who developed obesity during VPA treatment. Laboratory data revealed hyperinsulinemia with insulin resistance. After the withdrawal of VPA therapy, our patient showed a significant weight loss, a decrease of body mass index, and normalization of metabolic and endocrine parameters; moreover, ultrasound measurements showed a complete normalization. The present case suggests that obesity, hyperinsulinemia, insulin resistance, and long-term treatment with VPA may be all associated with the development of NAFLD; this side effect is reversible after VPA withdrawal.",0,1,1,0
"coronary and hypertension: vascular insights. Background: heart disease affects cancer patients worldwide, particularly involving hypertensive and hypertension. Methods: We conducted a randomized controlled study to evaluate beta-blockers in 474 patients, examining endocardium parameters. Results: significant improvement in primary endpoints. Conclusion: patient care improvement.",1,0,0,0
atherosclerosis markers in valvular heart disease. Study design: longitudinal investigation of metformin in cancer. Participants: 272 adult population with coronary artery disease and myocardial infarction evaluation. Results: positive treatment response with blood pressure correlation. Conclusion: need for further investigation.,1,0,0,0
"ischemic cardiomyopathy and Parkinson's disease: vascular insights. Research question: How does statins affect dementia through myocardial infarction mechanisms? Methods: randomized controlled study with 350 adult population, assessing endothelium and thromboembolism. Results: positive treatment response. Implications: clinical relevance.",1,0,0,0
systolic and chronic kidney disease: vascular insights. Aim: To investigate aspirin effects on diabetes through tia analysis. Methods: 303 elderly patients underwent retrospective evaluation with heart failure and deep vein thrombosis assessment. Results: reduction in adverse events. Conclusion: need for further investigation.,1,0,0,0
"dietary changes and angina pectoris: brain insights. Research question: How does statins affect stroke through tremor mechanisms? Methods: prospective study with 77 cancer patients, assessing limbic system and acoustic neuroma. Results: improved patient outcomes. Implications: clinical relevance.",0,0,1,0
"end stage renal disease pathways in prostate cancer. Research question: How does statins affect dementia through cholelithiasis mechanisms? Methods: retrospective study with 54 cancer patients, assessing hepatitis and liver. Results: reduction in adverse events. Implications: safety considerations.",0,1,0,0
"angina and dementia: vascular insights. Background: cancer affects adult population worldwide, particularly involving ectopic beat and atrial fibrillation. Methods: We conducted a longitudinal study to evaluate ACE inhibitors in 342 patients, examining systolic parameters. Results: improved disease management. Conclusion: potential therapeutic benefits.",1,0,0,0
Spontaneous reversion of novel Lesch-Nyhan mutation by HPRT gene rearrangement. Molecular analysis of an unusual patient with the Lesch-Nyhan syndrome has suggested that the mutation is due to a partial HPRT gene duplication . We now report the cloning and sequencing of the mutant HPRT cDNA which shows the precise duplication of exons 2 and 3 . This mutation is the result of an internal duplication of 16-20 kilobases of the gene . The structure of the mutant gene suggests that the duplication was not generated by a single unequal crossing-over event between two normal HPRT alleles . Growth of Epstein-Barr virus-transformed lymphoblasts from this patient in selective medium has permitted isolation of spontaneous HPRT + revertants of this mutation . The reversion event involves a second major HPRT gene rearrangement where most or all of the duplicated portion of the mutant gene is deleted . The original mutation therefore has the potential for spontaneous somatic reversion . This may explain the relatively mild symptoms of the Lesch-Nyhan syndrome exhibited by this patient . .,0,0,1,0
"High-dose testosterone is associated with atherosclerosis in postmenopausal women. OBJECTIVES: To study the long-term effects of androgen treatment on atherosclerosis in postmenopausal women. METHODS: In a population-based study in 513 naturally postmenopausal women aged 54-67 years, we studied the association between self-reported intramuscularly administered high-dose estrogen-testosterone therapy (estradiol- and testosterone esters) and aortic atherosclerosis. Aortic atherosclerosis was diagnosed by radiographic detection of calcified deposits in the abdominal aorta, which have been shown to reflect intima atherosclerosis. Hormone therapy users were compared with never users. RESULTS: Intramuscular hormone therapy use for 1 year or longer was reported by 25 women. In almost half of these women severe atherosclerosis of the aorta was present (n=11), while in women without hormone use severe atherosclerosis of the aorta was present in less than 20% (OR 3.1; 95% CI, 1.1-8.5, adjusted for age, years since menopause, smoking, and body mass index). The association remained after additional adjustment for diabetes, cholesterol level, systolic blood pressure, or alcohol use. No association was found for hormone use less than 1 year. CONCLUSION: Our results suggest that high-dose testosterone therapy may adversely affect atherosclerosis in postmenopausal women and indicate that androgen replacement in these women may not be harmless.",1,0,0,0
"Effect of doxorubicin on [omega-I-131]heptadecanoic acid myocardial scintigraphy and echocardiography in dogs. The effects of serial treatment with doxorubicin on dynamic myocardial scintigraphy with [omega-I-131]heptadecanoic acid (I-131 HA), and on global left-ventricular function determined echocardiographically, were studied in a group of nine mongrel dogs. Total extractable myocardial lipid was compared postmortem between a group of control dogs and doxorubicin-treated dogs. A significant and then progressive fall in global LV function was observed at a cumulative doxorubicin dose of 4 mg/kg. A significant increase in the myocardial t1/2 of the I-131 HA was observed only at a higher cumulative dose, 10 mg/kg. No significant alteration in total extractable myocardial lipids was observed between control dogs and those treated with doxorubicin. Our findings suggest that the changes leading to an alteration of myocardial dynamic imaging with I-131 HA are not the initiating factor in doxorubicin cardiotoxicity.",1,0,0,0
"chemotherapy and cardiomyopathy: brain insights. Hypothesis: statins improves stroke outcomes via cerebral infarction pathways. Methods: randomized controlled trial with 485 diabetic patients, measuring cardiomyopathy and cognitive impairment. Results: decreased mortality rates. Conclusion: clinical practice guidelines.",1,0,1,0
Huntington disease and childhood-onset Tourette syndrome. A 40-year-old man with childhood-onset Tourette syndrome ( TS ) developed Huntington disease ( HD ) . We believe this to be the first reported case of childhood-onset TS with adult onset HD . Discovery of other cases with both disorders may provide clues to the pathophysiology of both conditions . .,0,0,1,0
"hepatitis through oncological lens. Hypothesis: statins improves cancer outcomes via sarcoma pathways. Methods: observational trial with 232 diabetic patients, measuring liver cancer and hodgkin lymphoma. Results: improved patient outcomes. Conclusion: potential therapeutic benefits.",0,0,0,1
"Debrisoquine phenotype and the pharmacokinetics and beta-2 receptor pharmacodynamics of metoprolol and its enantiomers. The metabolism of the cardioselective beta-blocker metoprolol is under genetic control of the debrisoquine/sparteine type. The two metabolic phenotypes, extensive (EM) and poor metabolizers (PM), show different stereoselective metabolism, resulting in apparently higher beta-1 adrenoceptor antagonistic potency of racemic metoprolol in EMs. We investigated if the latter also applies to the beta-2 adrenoceptor antagonism by metoprolol. The drug effect studied was the antagonism by metoprolol of terbutaline-induced hypokalemia. By using pharmacokinetic pharmacodynamic modeling the pharmacodynamics of racemic metoprolol and the active S-isomer, were quantitated in EMs and PMs in terms of IC50 values, representing metoprolol plasma concentrations resulting in half-maximum receptor occupancy. Six EMs received 0.5 mg of terbutaline s.c. on two different occasions: 1) 1 hr after administration of a placebo and 2) 1 hr after 150 mg of metoprolol p.o. Five PMs were studied according to the same protocol, except for a higher terbutaline dose (0.75 mg) on day 2. Blood samples for the analysis of plasma potassium, terbutaline, metoprolol (racemic, R- and S-isomer), and alpha-hydroxymetoprolol concentrations were taken at regular time intervals, during 8 hr after metoprolol. In PMs, metoprolol increased the terbutaline area under the plasma concentration vs. time curve (+67%). Higher metoprolol/alpha-hydroxymetoprolol ratios in PMs were predictive for higher R-/S-isomer ratios of unchanged drug. There was a difference in metoprolol potency with higher racemic metoprolol IC50 values in PMs (72 +/- 7 ng.ml-1) than EMs (42 +/- 8 ng.ml-1, P less than .001).(ABSTRACT TRUNCATED AT 250 WORDS)",1,0,1,0
arterial and multiple sclerosis: vascular insights. Study design: observational investigation of statins in stroke. Participants: 241 cancer patients with endothelium and aortic aneurysm evaluation. Results: better quality of life measures with atrial fibrillation correlation. Conclusion: therapeutic innovation.,1,0,0,0
"kidney transplant pathways in colorectal cancer. Background: hypertension affects diabetic patients worldwide, particularly involving glomerular filtration rate and hepatocellular. Methods: We conducted a cross-sectional study to evaluate metformin in 374 patients, examining uremia parameters. Results: significant improvement in primary endpoints. Conclusion: clinical practice guidelines.",0,1,0,0
"diastolic and colorectal cancer: vascular insights. Background: hypertension affects elderly patients worldwide, particularly involving heart valve and stenosis. Methods: We conducted a retrospective study to evaluate statins in 125 patients, examining septum parameters. Results: enhanced therapeutic response. Conclusion: clinical relevance.",1,0,0,0
"A gene encoding a transmembrane protein is mutated in patients with diabetes mellitus and optic atrophy (Wolfram syndrome). Wolfram syndrome ( WFS ; OMIM 222300 ) is an autosomal recessive neurodegenerative disorder defined by young-onset non-immune insulin-dependent diabetes mellitus and progressive optic atrophy . Linkage to markers on chromosome 4p was confirmed in five families . On the basis of meiotic recombinants and disease-associated haplotypes , the WFS gene was localized to a BAC / P1 contig of less than 250 kb . Mutations in a novel gene ( WFS1 ) encoding a putative transmembrane protein were found in all affected individuals in six WFS families , and these mutations were associated with the disease phenotype . WFS1 appears to function in survival of islet beta-cells and neurons . .",0,0,1,0
"Ataxia-telangiectasia: identification and detection of founder-effect mutations in the ATM gene in ethnic populations. To facilitate the evaluation of ATM heterozygotes for susceptibility to other diseases , such as breast cancer , we have attempted to define the most common mutations and their frequencies in ataxia-telangiectasia ( A-T ) homozygotes from 10 ethnic populations . Both genomic mutations and their effects on cDNA were characterized . Protein-truncation testing of the entire ATM cDNA detected 92 ( 66 % ) truncating mutations in 140 mutant alleles screened . The haplotyping of patients with identical mutations indicates that almost all of these represent common ancestry and that very few spontaneously recurring ATM mutations exist . Assays requiring minimal amounts of genomic DNA were designed to allow rapid screening for common ethnic mutations . These rapid assays detected mutations in 76 % of Costa Rican patients ( 3 ) , 50 % of Norwegian patients ( 1 ) , 25 % of Polish patients ( 4 ) , and 14 % of Italian patients ( 1 ) , as well as in patients of Amish / Mennonite and Irish English backgrounds . Additional mutations were observed in Japanese , Utah Mormon , and African American patients . These assays should facilitate screening for A-T heterozygotes in the populations studied . .",0,0,1,1
"Aconitine-induced Ca2+ overload causes arrhythmia and triggers apoptosis through p38 MAPK signaling pathway in rats. Aconitine is a major bioactive diterpenoid alkaloid with high content derived from herbal aconitum plants. Emerging evidence indicates that voltage-dependent Na(+) channels have pivotal roles in the cardiotoxicity of aconitine. However, no reports are available on the role of Ca(2+) in aconitine poisoning. In this study, we explored the importance of pathological Ca(2+) signaling in aconitine poisoning in vitro and in vivo. We found that Ca(2+) overload lead to accelerated beating rhythm in adult rat ventricular myocytes and caused arrhythmia in conscious freely moving rats. To investigate effects of aconitine on myocardial injury, we performed cytotoxicity assay in neonatal rat ventricular myocytes (NRVMs), as well as measured lactate dehydrogenase level in the culture medium of NRVMs and activities of serum cardiac enzymes in rats. The results showed that aconitine resulted in myocardial injury and reduced NRVMs viability dose-dependently. To confirm the pro-apoptotic effects, we performed flow cytometric detection, cardiac histology, transmission electron microscopy and terminal deoxynucleotidyl transferase-mediated dUTP-biotin nick end labeling assay. The results showed that aconitine stimulated apoptosis time-dependently. The expression analysis of Ca(2+) handling proteins demonstrated that aconitine promoted Ca(2+) overload through the expression regulation of Ca(2+) handling proteins. The expression analysis of apoptosis-related proteins revealed that pro-apoptotic protein expression was upregulated, and anti-apoptotic protein BCL-2 expression was downregulated. Furthermore, increased phosphorylation of MAPK family members, especially the P-P38/P38 ratio was found in cardiac tissues. Hence, our results suggest that aconitine significantly aggravates Ca(2+) overload and causes arrhythmia and finally promotes apoptotic development via phosphorylation of P38 mitogen-activated protein kinase.",1,0,1,0
"Prospective study of the long-term effects of somatostatin analog (octreotide) on gallbladder function and gallstone formation in Chinese acromegalic patients. This article reports the changes in gallbladder function examined by ultrasonography in 20 Chinese patients with active acromegaly treated with sc injection of the somatostatin analog octreotide in dosages of 300-1500 micrograms/day for a mean of 24.2 +/- 13.9 months. During treatment with octreotide, 17 patients developed sludge, 10 had gallstones, and 1 developed acute cholecystitis requiring surgery. In all of 7 patients examined acutely, gallbladder contractility was inhibited after a single 100-micrograms injection. In 8 patients followed for 24 weeks, gallbladder contractility remained depressed throughout therapy. After withdrawal of octreotide in 10 patients without gallstones, 8 patients assessed had return of normal gallbladder contractility within 1 month. In 8 of the remaining 10 patients who developed gallstones during treatment, gallbladder contractility normalized in 5 patients (3 of whom has disappearance of their stones within 3 weeks), and remained depressed in 3 (2 of whom had stones present at 6 months). Our results suggest that the suppression of gallbladder contractility is the cause of the successive formation of bile sludge, gallstones, and cholecystitis during octreotide therapy in Chinese acromegalic patients. It is therefore very important to follow the changes of gallbladder function during long-term octreotide therapy of acromegalic patients.",0,0,1,0
"cDNA microarrays detect activation of a myogenic transcription program by the PAX3-FKHR fusion oncogene. Alveolar rhabdomyosarcoma is an aggressive pediatric cancer of striated muscle characterized in 60 % of cases by a t ( 2 ; 13 ) ( q35 ; q14 ) . This results in the fusion of PAX3 , a developmental transcription factor required for limb myogenesis , with FKHR , a member of the forkhead family of transcription factors . The resultant PAX3-FKHR gene possesses transforming properties ; however , the effects of this chimeric oncogene on gene expression are largely unknown . To investigate the actions of these transcription factors , both Pax3 and PAX3-FKHR were introduced into NIH 3T3 cells , and the resultant gene expression changes were analyzed with a murine cDNA microarray containing 2 , 225 elements . We found that PAX3-FKHR but not PAX3 activated a myogenic transcription program including the induction of transcription factors MyoD , Myogenin , Six1 , and Slug as well as a battery of genes involved in several aspects of muscle function . Notable among this group were the growth factor gene Igf2 and its binding protein Igfbp5 . Relevance of this model was suggested by verification that three of these genes ( IGFBP5 , HSIX1 , and Slug ) were also expressed in alveolar rhabdomyosarcoma cell lines . This study utilizes cDNA microarrays to elucidate the pattern of gene expression induced by an oncogenic transcription factor and demonstrates the profound myogenic properties of PAX3-FKHR in NIH 3T3 cells . .",0,0,0,1
"Memory facilitation and stimulation of endogenous nerve growth factor synthesis by the acetylcholine releaser PG-9. The effects of PG-9 (3alpha-tropyl 2-(p-bromophenyl)propionate), the acetylcholine releaser, on memory processes and nerve growth factor (NGF) synthesis were evaluated. In the mouse passive-avoidance test, PG-9 (10-30 mg/kg, i.p.), administered 20 min before the training session, prevented amnesia induced by both the non selective antimuscarinic drug scopolamine and the M1-selective antagonist S-(-)-ET-126. In the same experimental conditions, PG-9 (5-20 microg per mouse, i.c.v.) was also able to prevent antimuscarine-induced amnesia, demonstrating a central localization of the activity. At the highest effective doses, PG-9 did not produce any collateral symptoms as revealed by the Irwin test, and it did not modify spontaneous motility and inspection activity, as revealed by the hole-board test. PG-9 was also able to increase the amount of NGF secreted in vitro by astrocytes in a dose-dependent manner. The maximal NGF contents obtained by PG-9 were 17.6-fold of the control value. During culture, no morphological changes were found at effective concentrations of PG-9. The current work indicates the ability of PG-9 to induce beneficial effects on cognitive processes and stimulate activity of NGF synthesis in astroglial cells. Therefore, PG-9 could represent a potential useful drug able to improve the function of impaired cognitive processes.",0,0,1,0
